# _tick,_time,step,pg_loss,value_loss,dist_entropy,train:mean_episode_return,train:median_episode_return,test:mean_episode_return,test:median_episode_return,train_eval:mean_episode_return,train_eval:median_episode_return,sps,train:success_rate,train_eval:success_rate,test:success_rate
51,1624919862.8333318,83574784,-0.0013069649770235021,0.04669723605426649,1.3265367994705837,0.742625,0.915625,0.089875,0.0,0.71900004,0.870625,4717.88014138273,0.8,0.8,0.1
52,1624920209.1808677,85213184,-0.00041280308505520225,0.004729327124853929,1.2867303291956584,0.61675006,0.8875,0.35500002,0.0,0.80325,0.89312506,4714.910813449462,0.7,0.9,0.4
53,1624920562.9289467,86851584,-0.003302410535980016,0.029351727260897558,1.169703001777331,0.63137496,0.87625,0.12574999,0.0,0.66625,0.94937503,4673.93028633507,0.7,0.7,0.2
54,1624920920.645477,88489984,0.0023351398025018475,0.012902577795709172,1.261492853363355,0.80775005,0.88750005,0.098875,0.0,0.90325004,0.92125,4639.084279812344,0.9,1.0,0.1
55,1624921277.2192671,90128384,-3.783298113072912e-05,0.018020809317628544,1.2678034802277882,0.708875,0.865,0.086500004,0.0,0.533625,0.780625,4627.405522191214,0.8,0.6,0.1
56,1624921627.255092,91766784,-0.006093523174058646,0.05556292195493976,1.3152284771203995,0.892,0.870625,0.0,0.0,0.63475,0.89875,4605.431642893195,1.0,0.7,0.0
57,1624921975.2067208,93405184,0.00035701370021949214,0.01576033329668765,1.3602065046628316,0.73812497,0.904375,0.012250001,0.0,0.88637495,0.91,4677.251264643968,0.8,1.0,0.1
58,1624922328.255327,95043584,-0.003183685737894848,0.05920271327098211,1.222027803460757,0.63025,0.859375,0.292125,0.0,0.611125,0.7975,4612.990401035613,0.7,0.7,0.3
59,1624922686.4565785,96681984,-0.001674083760008216,0.009279284839673588,1.118191157778104,0.7145,0.88750005,0.092125,0.0,0.77737504,0.87625,4590.734231048646,0.8,0.9,0.1
60,1624923043.7735312,98320384,-0.0017795769381336868,0.03675281520312031,1.1460299144188564,0.52575004,0.825625,0.0,0.0,0.83475,0.960625,4610.204598357972,0.6,0.9,0.0
61,1624923402.447571,99958784,0.0033112321592246494,0.03505308941627542,1.1526260375976562,0.79875,0.88750005,0.178625,0.0,0.76724994,0.87625,4569.722446414548,0.9,0.9,0.2
62,1624923561.0431874,99991552,-0.00030356220668181777,0.009699031497196605,1.1853192001581192,0.820125,0.9325,0.0,0.0,0.61899996,0.83687496,104966.22880981406,0.9,0.7,0.0
